class,total_samples,hits,errors,confidence_mean_errors,confidence_mean_hits,confidence_max,confidence_min
global,7178,5538,1640,0.5543173724013131,0.7906183493335396,0.9999935626983643,0.22392959892749786
anger,958,686,272,0.5226686370065984,0.7657633066264256,0.999651312828064,0.26163721084594727
contempt,0,0,0,,,,
disgust,111,102,9,0.6065034137831794,0.916493620650441,0.9998078346252441,0.41588926315307617
fear,1024,518,506,0.5829962655725215,0.6544472020565313,0.9992647767066956,0.2802385091781616
happy,1774,1634,140,0.5685897073575429,0.9259284078673604,0.9999935626983643,0.27922701835632324
neutral,1233,928,305,0.5315568408516587,0.6991316278561436,0.997207522392273,0.22392959892749786
sad,1247,929,318,0.549514225303377,0.673997813168075,0.9986670017242432,0.23802171647548676
surprise,831,741,90,0.5554117914703157,0.8538996663331664,0.999508798122406,0.26348966360092163
