class,accuracy_global,precision,recall_sensitivity,specificity,f1_score,support
anger,0.5601838952354417,0.4444444444444444,0.6221294363256785,0.8802250803858521,0.5184862983906046,958
contempt,0.5601838952354417,0.0,0.0,1.0,0.0,0
disgust,0.5601838952354417,0.5294117647058824,0.08108108108108109,0.9988679779255696,0.140625,111
fear,0.5601838952354417,0.5032051282051282,0.1533203125,0.9748131296717583,0.23502994011976047,1024
happy,0.5601838952354417,0.7049977885891199,0.8985343855693348,0.8765729089563287,0.7900867410161091,1774
neutral,0.5601838952354417,0.4313519200420831,0.6650446066504461,0.8181665264928512,0.5232929164007658,1233
sad,0.5601838952354417,0.5765407554671969,0.23255813953488372,0.9640870005058169,0.3314285714285714,1247
surprise,0.5601838952354417,0.6583629893238434,0.6678700361010831,0.9546242319205924,0.6630824372759857,831
macro_avg,0.5601838952354417,0.4810393488472122,0.4150672497203134,0.9334196069823462,0.40025398807897467,7178
weighted_avg,0.5601838952354417,0.5640002083459011,0.5601838952354417,0.9071729606233272,0.5243991203640748,7178
